"","n","m","y","q","x","m_qy","xy_m","h","is_h_max","is_m_qy_min","is_xy_m_min"
"19083",38,66,4,16,17,2,2,275.161226282377,FALSE,FALSE,FALSE
"19084",38,66,5,13,14,1,4,274.93763351083,FALSE,FALSE,FALSE
"19085",38,66,6,11,11,0,0,276.517212973744,TRUE,TRUE,TRUE
"19086",38,66,7,9,10,3,4,274.065813830414,FALSE,FALSE,FALSE
"19087",38,66,8,8,9,2,6,273.833789421313,FALSE,FALSE,FALSE
"19088",38,67,2,33,34,1,1,281.0287212823,TRUE,TRUE,TRUE
"19089",38,67,3,22,23,1,2,280.630645966232,FALSE,TRUE,FALSE
"19090",38,67,4,16,17,3,1,280.873976080381,FALSE,FALSE,TRUE
"19091",38,67,5,13,14,2,3,279.926388839564,FALSE,FALSE,FALSE
"19092",38,67,6,11,12,1,5,279.959244770418,FALSE,TRUE,FALSE
"19093",38,67,7,9,10,4,3,279.565984142804,FALSE,FALSE,FALSE
"19094",38,67,8,8,9,3,5,278.882820788785,FALSE,FALSE,FALSE
"19095",38,68,2,34,34,0,0,286.926523951975,TRUE,TRUE,TRUE
"19096",38,68,3,22,23,2,1,286.130373319839,FALSE,FALSE,FALSE
"19097",38,68,4,17,17,0,0,286.926523951975,TRUE,TRUE,TRUE
"19098",38,68,5,13,14,3,2,285.438392312062,FALSE,FALSE,FALSE
"19099",38,68,6,11,12,2,4,284.787570928212,FALSE,FALSE,FALSE
"19100",38,68,7,9,10,5,2,285.31882599441,FALSE,FALSE,FALSE
"19101",38,68,8,8,9,4,4,284.271650229848,FALSE,FALSE,FALSE
"19102",38,69,2,34,35,1,1,291.467448267155,FALSE,FALSE,FALSE
"19103",38,69,3,23,23,0,0,292.153348817211,TRUE,TRUE,TRUE
"19104",38,69,4,17,18,1,3,290.788588745151,FALSE,FALSE,FALSE
"19105",38,69,5,13,14,4,1,291.290193858151,FALSE,FALSE,FALSE
"19106",38,69,6,11,12,3,3,290.13914522977,FALSE,FALSE,FALSE
"19107",38,69,7,9,10,6,1,291.273022981522,FALSE,FALSE,FALSE
"19108",38,69,8,8,9,5,3,289.913151210126,FALSE,FALSE,FALSE
"19109",38,70,2,35,35,0,0,297.394666943455,TRUE,TRUE,TRUE
"19110",38,70,3,23,24,1,2,296.310273779191,FALSE,FALSE,FALSE
"19111",38,70,4,17,18,2,2,296.036947899446,FALSE,FALSE,FALSE
"19112",38,70,5,14,14,0,0,297.394666943455,TRUE,TRUE,TRUE
"19113",38,70,6,11,12,4,2,295.830517604919,FALSE,FALSE,FALSE
"19114",38,70,7,10,10,0,0,297.394666943455,TRUE,TRUE,TRUE
"19115",38,70,8,8,9,6,2,295.756007325911,FALSE,FALSE,FALSE
"19116",38,71,2,35,36,1,1,301.964166575746,TRUE,TRUE,TRUE
"19117",38,71,3,23,24,2,1,301.853493102291,FALSE,FALSE,TRUE
"19118",38,71,4,17,18,3,1,301.808555197505,FALSE,FALSE,TRUE
"19119",38,71,5,14,15,1,4,301.068617345375,FALSE,TRUE,FALSE
"19120",38,71,6,11,12,5,1,301.774561519284,FALSE,FALSE,TRUE
"19121",38,71,7,10,11,1,6,300.745664014297,FALSE,TRUE,FALSE
"19122",38,71,8,8,9,7,1,301.766310416517,FALSE,FALSE,TRUE
"19123",38,72,2,36,36,0,0,307.919960569156,TRUE,TRUE,TRUE
"19124",38,72,3,24,24,0,0,307.919960569156,TRUE,TRUE,TRUE
"19125",38,72,4,18,18,0,0,307.919960569156,TRUE,TRUE,TRUE
"19126",38,72,5,14,15,2,3,306.128862108414,FALSE,FALSE,FALSE
"19127",38,72,6,12,12,0,0,307.919960569156,TRUE,TRUE,TRUE
"19128",38,72,7,10,11,2,5,305.482955446258,FALSE,FALSE,FALSE
"19129",38,72,8,9,9,0,0,307.919960569156,TRUE,TRUE,TRUE
"19130",38,73,3,24,25,1,2,312.11856426251,TRUE,TRUE,TRUE
"19131",38,73,4,18,19,1,3,311.837609531187,FALSE,TRUE,FALSE
"19132",38,73,5,14,15,3,2,311.712355015218,FALSE,FALSE,TRUE
"19133",38,73,6,12,13,1,5,311.4454224187,FALSE,TRUE,FALSE
"19134",38,73,7,10,11,3,4,310.743495021984,FALSE,FALSE,FALSE
"19135",38,73,8,9,10,1,7,311.17079030307,FALSE,TRUE,FALSE
"19136",38,74,3,24,25,2,1,317.703462316985,TRUE,TRUE,TRUE
"19137",38,74,4,18,19,2,2,317.141552854339,FALSE,TRUE,FALSE
"19138",38,74,5,14,15,4,1,317.635645995613,FALSE,FALSE,TRUE
